variable;presence conditions
CONFIG_PROC_CHILDREN;CONFIG_PROC_FS && CONFIG_PROC_CHILDREN
CONFIG_PCI_REALLOC_ENABLE_AUTO;CONFIG_PCI && ((CONFIG_PCI_IOV && CONFIG_PCI_REALLOC_ENABLE_AUTO) || !(CONFIG_PCI_IOV && CONFIG_PCI_REALLOC_ENABLE_AUTO))
CONFIG_DEBUG_OBJECTS_PERCPU_COUNTER;CONFIG_SMP && (CONFIG_DEBUG_OBJECTS_PERCPU_COUNTER || !CONFIG_DEBUG_OBJECTS_PERCPU_COUNTER)
CONFIG_RAID_ATTRS_MODULE;(CONFIG_SCSI || CONFIG_SCSI_MODULE) && ((CONFIG_RAID_ATTRS || CONFIG_RAID_ATTRS_MODULE) || ((CONFIG_SCSI || CONFIG_SCSI_MODULE) && (CONFIG_RAID_ATTRS || CONFIG_RAID_ATTRS_MODULE)))
CONFIG_CRYPTO_HMAC;((CONFIG_BLK_DEV_DRBD || CONFIG_BLK_DEV_DRBD_MODULE) && (CONFIG_BLK_DEV_DRBD || CONFIG_BLK_DEV_DRBD_MODULE)) && ((!CONFIG_CRYPTO_HMAC && !CONFIG_CRYPTO_HMAC_MODULE) || !(!CONFIG_CRYPTO_HMAC && !CONFIG_CRYPTO_HMAC_MODULE))
CONFIG_RADIO_SI470X;((CONFIG_VIDEO_DEV || CONFIG_VIDEO_DEV_MODULE) && CONFIG_RADIO_SI470X) && ((CONFIG_I2C_SI470X || CONFIG_I2C_SI470X_MODULE) || (CONFIG_USB_SI470X || CONFIG_USB_SI470X_MODULE))
CONFIG_HAVE_CMPXCHG_LOCAL;CONFIG_SMP && (CONFIG_HAVE_CMPXCHG_LOCAL || !CONFIG_HAVE_CMPXCHG_LOCAL)
CONFIG_PCI_DEBUG;(CONFIG_PCI && CONFIG_PCI_RCAR_GEN2) && (CONFIG_PCI_DEBUG || !CONFIG_PCI_DEBUG)
CONFIG_CRYPTO_HMAC_MODULE;((CONFIG_BLK_DEV_DRBD || CONFIG_BLK_DEV_DRBD_MODULE) && (CONFIG_BLK_DEV_DRBD || CONFIG_BLK_DEV_DRBD_MODULE)) && ((!CONFIG_CRYPTO_HMAC && !CONFIG_CRYPTO_HMAC_MODULE) || !(!CONFIG_CRYPTO_HMAC && !CONFIG_CRYPTO_HMAC_MODULE))
CONFIG_DEBUG_TLBFLUSH;CONFIG_DEBUG_TLBFLUSH && (CONFIG_VM_EVENT_COUNTERS && ((CONFIG_PROC_FS || CONFIG_SYSFS) || CONFIG_NUMA));CONFIG_SMP && (CONFIG_DEBUG_TLBFLUSH && (CONFIG_VM_EVENT_COUNTERS && ((CONFIG_PROC_FS || CONFIG_SYSFS) || CONFIG_NUMA)))
CONFIG_IWLWIFI_LEDS;CONFIG_IWLWIFI_LEDS && ((((CONFIG_WLAN && (CONFIG_IWLWIFI || CONFIG_IWLWIFI_MODULE)) && (CONFIG_IWLMVM || CONFIG_IWLMVM_MODULE)) && (CONFIG_IWLMVM || CONFIG_IWLMVM_MODULE)) || (((CONFIG_WLAN && (CONFIG_IWLWIFI || CONFIG_IWLWIFI_MODULE)) && (CONFIG_IWLDVM || CONFIG_IWLDVM_MODULE)) && (CONFIG_IWLDVM || CONFIG_IWLDVM_MODULE)))
CONFIG_CPU_FREQ_DEFAULT_GOV_PERFORMANCE;(CONFIG_CPU_FREQ && CONFIG_X86_INTEL_PSTATE) && (CONFIG_CPU_FREQ_DEFAULT_GOV_PERFORMANCE || !CONFIG_CPU_FREQ_DEFAULT_GOV_PERFORMANCE)
CONFIG_NF_CONNTRACK_TIMESTAMP;(CONFIG_NETFILTER && (CONFIG_NF_CT_NETLINK || CONFIG_NF_CT_NETLINK_MODULE)) && (CONFIG_NF_CONNTRACK_TIMESTAMP || !CONFIG_NF_CONNTRACK_TIMESTAMP)
CONFIG_HAVE_SETUP_PER_CPU_AREA;CONFIG_SMP && (!CONFIG_HAVE_SETUP_PER_CPU_AREA || (CONFIG_NEED_PER_CPU_EMBED_FIRST_CHUNK || !CONFIG_HAVE_SETUP_PER_CPU_AREA))
CONFIG_W1_CON;((CONFIG_W1 || CONFIG_W1_MODULE) && (CONFIG_W1 || CONFIG_W1_MODULE)) && ((CONFIG_W1_CON && (CONFIG_CONNECTOR || (CONFIG_CONNECTOR_MODULE && CONFIG_W1_MODULE))) || !(CONFIG_W1_CON && (CONFIG_CONNECTOR || (CONFIG_CONNECTOR_MODULE && CONFIG_W1_MODULE))))
CONFIG_NEED_SG_DMA_LENGTH;CONFIG_NEED_SG_DMA_LENGTH && ((((CONFIG_STAGING && (CONFIG_STAGING_RDMA || CONFIG_STAGING_RDMA_MODULE)) && (CONFIG_INFINIBAND_HFI1 || CONFIG_INFINIBAND_HFI1_MODULE)) && (CONFIG_INFINIBAND_HFI1 || CONFIG_INFINIBAND_HFI1_MODULE)) || ((((CONFIG_INFINIBAND || CONFIG_INFINIBAND_MODULE) && (CONFIG_INFINIBAND || CONFIG_INFINIBAND_MODULE)) && (CONFIG_INFINIBAND_SRP || CONFIG_INFINIBAND_SRP_MODULE)) && (CONFIG_INFINIBAND_SRP || CONFIG_INFINIBAND_SRP_MODULE)))
CONFIG_NF_CONNTRACK_PROC_COMPAT;(CONFIG_NETFILTER && (CONFIG_NF_CT_PROTO_SCTP || CONFIG_NF_CT_PROTO_SCTP_MODULE)) && (CONFIG_NF_CONNTRACK_PROC_COMPAT && CONFIG_SYSCTL)
CONFIG_ARCH_HAS_CPU_RELAX;CONFIG_CPU_IDLE && (CONFIG_ARCH_HAS_CPU_RELAX || !CONFIG_ARCH_HAS_CPU_RELAX)
CONFIG_EDAC_DEBUG;CONFIG_EDAC_DEBUG && ((CONFIG_EDAC && (CONFIG_EDAC_I7300 || CONFIG_EDAC_I7300_MODULE)) || (CONFIG_EDAC && (CONFIG_EDAC_CPC925 || CONFIG_EDAC_CPC925_MODULE)))
CONFIG_KVM_DEBUG_FS;CONFIG_KVM_GUEST && ((CONFIG_KVM_DEBUG_FS && (!CONFIG_QUEUED_SPINLOCKS && CONFIG_PARAVIRT_SPINLOCKS)) || (!CONFIG_KVM_DEBUG_FS && (!CONFIG_QUEUED_SPINLOCKS && CONFIG_PARAVIRT_SPINLOCKS)))
CONFIG_ARCH_WANT_HUGE_PMD_SHARE;CONFIG_HUGETLBFS && (CONFIG_ARCH_WANT_HUGE_PMD_SHARE || !CONFIG_ARCH_WANT_HUGE_PMD_SHARE)
CONFIG_SCSI_CONSTANTS;((CONFIG_SCSI || CONFIG_SCSI_MODULE) && (CONFIG_SCSI_SPI_ATTRS || CONFIG_SCSI_SPI_ATTRS_MODULE)) && (CONFIG_SCSI_CONSTANTS || !CONFIG_SCSI_CONSTANTS)
CONFIG_ASYNC_PQ;(CONFIG_DMADEVICES && CONFIG_DMA_ENGINE) && ((CONFIG_ASYNC_PQ || CONFIG_ASYNC_PQ_MODULE) || (!CONFIG_ASYNC_TX_DISABLE_PQ_VAL_DMA && (CONFIG_ASYNC_PQ || CONFIG_ASYNC_PQ_MODULE)))
CONFIG_WATCHDOG_NOWAYOUT;CONFIG_WATCHDOG_NOWAYOUT && ((CONFIG_WATCHDOG && (CONFIG_KS8695_WATCHDOG || CONFIG_KS8695_WATCHDOG_MODULE)) || (CONFIG_WATCHDOG && (CONFIG_AT91RM9200_WATCHDOG || CONFIG_AT91RM9200_WATCHDOG_MODULE)))
CONFIG_NET_VENDOR_AGERE;(CONFIG_ETHERNET && CONFIG_NET_VENDOR_AGERE) && (CONFIG_ET131X || CONFIG_ET131X_MODULE);((CONFIG_ETHERNET && CONFIG_NET_VENDOR_AGERE) && (CONFIG_ET131X || CONFIG_ET131X_MODULE)) && CONFIG_PM_SLEEP
CONFIG_MEMSTICK_UNSAFE_RESUME;(((CONFIG_MEMSTICK || CONFIG_MEMSTICK_MODULE) && (CONFIG_MEMSTICK || CONFIG_MEMSTICK_MODULE)) && (CONFIG_MS_BLOCK || CONFIG_MS_BLOCK_MODULE)) && (!CONFIG_MEMSTICK_UNSAFE_RESUME && CONFIG_PM);(((CONFIG_MEMSTICK || CONFIG_MEMSTICK_MODULE) && (CONFIG_MEMSTICK || CONFIG_MEMSTICK_MODULE)) && (CONFIG_MSPRO_BLOCK || CONFIG_MSPRO_BLOCK_MODULE)) && (CONFIG_MEMSTICK_UNSAFE_RESUME && CONFIG_PM)
CONFIG_TRACE_IRQFLAGS_SUPPORT;(((((CONFIG_FUNCTION_TRACER || CONFIG_TRACING) || CONFIG_TRACE_CLOCK) || CONFIG_RING_BUFFER) || CONFIG_TRACEPOINTS) && CONFIG_TRACING) && (CONFIG_TRACE_IRQFLAGS_SUPPORT || !CONFIG_TRACE_IRQFLAGS_SUPPORT)
CONFIG_LEGACY_VSYSCALL_NONE;CONFIG_X86_VSYSCALL_EMULATION && ((!CONFIG_LEGACY_VSYSCALL_NATIVE && CONFIG_LEGACY_VSYSCALL_NONE) || (!CONFIG_LEGACY_VSYSCALL_NATIVE && !CONFIG_LEGACY_VSYSCALL_NONE))
CONFIG_ASYNC_XOR;(CONFIG_DMADEVICES && CONFIG_DMA_ENGINE) && ((CONFIG_ASYNC_XOR || CONFIG_ASYNC_XOR_MODULE) || (!CONFIG_ASYNC_TX_DISABLE_XOR_VAL_DMA && (CONFIG_ASYNC_XOR || CONFIG_ASYNC_XOR_MODULE)))
CONFIG_RCU_TORTURE_TEST_SLOW_CLEANUP;(CONFIG_TREE_RCU || CONFIG_PREEMPT_RCU) && (CONFIG_RCU_TORTURE_TEST_SLOW_CLEANUP || !CONFIG_RCU_TORTURE_TEST_SLOW_CLEANUP)
CONFIG_BUG;CONFIG_NET && CONFIG_BUG;((CONFIG_WIMAX || CONFIG_WIMAX_MODULE) && (CONFIG_WIMAX || CONFIG_WIMAX_MODULE)) && !CONFIG_BUG
